Pais,Data,Decklist,Evento,Formato,Heroi,Resultado,Link do deck,Tipo de evento
Thailand,24 May 2025,Chanon Puttaree – Marlynn – Calling: Taipei,Calling: Taipei,Booster Draft,Marlynn,2nd,https://fabtcg.com/decklists/chanon-puttaree-marlynn-calling-taipei/,calling
United States of America,24 May 2025,Christopher Iaali – Puffin – Calling: Taipei,Calling: Taipei,Booster Draft,Puffin,3rd,https://fabtcg.com/decklists/christopher-iaali-puffin-calling-taipei/,calling
Netherlands,24 May 2025,Jaap IJlst – Gravy Bones – Calling: Taipei,Calling: Taipei,Booster Draft,Gravy Bones,3rd,https://fabtcg.com/decklists/jaap-ijlst-gravy-bones-calling-taipei/,calling
Australia,24 May 2025,Scott Mackenzie – Marlynn – Calling: Taipei,Calling: Taipei,Booster Draft,Marlynn,5th,https://fabtcg.com/decklists/scott-mackenzie-marlynn-calling-taipei/,calling
Singapore,24 May 2025,Shirui Wu – Marlynn – Calling: Taipei,Calling: Taipei,Booster Draft,Marlynn,5th,https://fabtcg.com/decklists/shirui-wu-marlynn-calling-taipei/,calling
Canada,24 May 2025,Yuki Lee Bender – Gravy Bones – Calling: Taipei,Calling: Taipei,Booster Draft,Gravy Bones,5th,https://fabtcg.com/decklists/yuki-lee-bender-gravy-bones-calling-taipei/,calling
Australia,24 May 2025,Alexander Dobler – Puffin – Calling: Taipei,Calling: Taipei,Booster Draft,Puffin,5th,https://fabtcg.com/decklists/alexander-dobler-puffin-calling-taipei/,calling
United States of America,18 May 2025,"Jared Contaldi – Florian, Rotwood Harbinger – Battle Hardened: Hartford",Battle Hardened: Hartford,Classic Constructed,"Florian, Rotwood Harbinger",1st,https://fabtcg.com/decklists/jared-contaldi-florian-rotwood-harbinger-battle-hardened-hartford/,battle hardened
United States of America,18 May 2025,"Brodie Spurlock – Vynnset, Iron Maiden – Battle Hardened: Hartford",Battle Hardened: Hartford,Classic Constructed,"Vynnset, Iron Maiden",2nd,https://fabtcg.com/decklists/brodie-spurlock-vynnset-iron-maiden-battle-hardened-hartford/,battle hardened
United States of America,18 May 2025,"William Pearlman – Kano, Dracai of Aether – Battle Hardened: Hartford",Battle Hardened: Hartford,Classic Constructed,"Kano, Dracai of Aether",3rd,https://fabtcg.com/decklists/william-pearlman-kano-dracai-of-aether-battle-hardened-hartford/,battle hardened
United States of America,18 May 2025,"June Lekstutis – Vynnset, Iron Maiden – Battle Hardened: Hartford",Battle Hardened: Hartford,Classic Constructed,"Vynnset, Iron Maiden",3rd,https://fabtcg.com/decklists/june-lekstutis-vynnset-iron-maiden-battle-hardened-hartford/,battle hardened
United States of America,18 May 2025,"Joshua Tavares – Florian, Rotwood Harbinger – Battle Hardened: Hartford",Battle Hardened: Hartford,Classic Constructed,"Florian, Rotwood Harbinger",5th,https://fabtcg.com/decklists/joshua-tavares-florian-rotwood-harbinger-battle-hardened-hartford/,battle hardened
United States of America,18 May 2025,"Jesse Bowman – Fang, Dracai of Blades – Battle Hardened: Hartford",Battle Hardened: Hartford,Classic Constructed,"Fang, Dracai of Blades",5th,https://fabtcg.com/decklists/jesse-bowman-fang-dracai-of-blades-battle-hardened-hartford/,battle hardened
United States of America,18 May 2025,"Elizabeth Sprinkle – Prism, Awakener of Sol – Battle Hardened: Hartford",Battle Hardened: Hartford,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/elizabeth-sprinkle-prism-awakener-of-sol-battle-hardened-hartford/,battle hardened
United States of America,18 May 2025,"Reuben An – Prism, Awakener of Sol – Battle Hardened: Hartford",Battle Hardened: Hartford,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/reuben-an-prism-awakener-of-sol-battle-hardened-hartford/,battle hardened
Italy,18 May 2025,"Lorenzo Brambilla Pisoni – Nuu, Alluring Desire – Battle Hardened: Milan",Battle Hardened: Milan,Classic Constructed,"Nuu, Alluring Desire",1st,https://fabtcg.com/decklists/lorenzo-brambilla-pisoni-nuu-alluring-desire-battle-hardened-milan/,battle hardened
Switzerland,18 May 2025,"Tigran Grigorian – Florian, Rotwood Harbinger – Battle Hardened: Milan",Battle Hardened: Milan,Classic Constructed,"Florian, Rotwood Harbinger",2nd,https://fabtcg.com/decklists/tigran-grigorian-florian-rotwood-harbinger-battle-hardened-milan/,battle hardened
Italy,18 May 2025,"Stefano Meoni – Azalea, Ace in the Hole – Battle Hardened: Milan",Battle Hardened: Milan,Classic Constructed,"Azalea, Ace in the Hole",3rd,https://fabtcg.com/decklists/stefano-meoni-azalea-ace-in-the-hole-battle-hardened-milan/,battle hardened
Italy,18 May 2025,"Matteo Blasi – Florian, Rotwood Harbinger – Battle Hardened: Milan",Battle Hardened: Milan,Classic Constructed,"Florian, Rotwood Harbinger",3rd,https://fabtcg.com/decklists/matteo-blasi-florian-rotwood-harbinger-battle-hardened-milan/,battle hardened
Italy,18 May 2025,"filippo pirazzoli – Cindra, Dracai of Retribution – Battle Hardened: Milan",Battle Hardened: Milan,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/filippo-pirazzoli-cindra-dracai-of-retribution-battle-hardened-milan/,battle hardened
Italy,18 May 2025,"Mirko Dolce – Azalea, Ace in the Hole – Battle Hardened: Milan",Battle Hardened: Milan,Classic Constructed,"Azalea, Ace in the Hole",5th,https://fabtcg.com/decklists/mirko-dolce-azalea-ace-in-the-hole-battle-hardened-milan/,battle hardened
Italy,18 May 2025,"Simone Pirota – Azalea, Ace in the Hole – Battle Hardened: Milan",Battle Hardened: Milan,Classic Constructed,"Azalea, Ace in the Hole",5th,https://fabtcg.com/decklists/simone-pirota-azalea-ace-in-the-hole-battle-hardened-milan/,battle hardened
Italy,18 May 2025,"Filippo Barbani – Victor Goldmane, High and Mighty – Battle Hardened: Milan",Battle Hardened: Milan,Classic Constructed,"Victor Goldmane, High and Mighty",5th,https://fabtcg.com/decklists/filippo-barbani-victor-goldmane-high-and-mighty-battle-hardened-milan/,battle hardened
Japan,18 May 2025,"Ryosuke Urase – Florian, Rotwood Harbinger – Battle Hardened: Tokyo",Battle Hardened: Tokyo,Classic Constructed,"Florian, Rotwood Harbinger",1st,https://fabtcg.com/decklists/ryosuke-urase-florian-rotwood-harbinger-battle-hardened-tokyo/,battle hardened
Japan,18 May 2025,"EITARO SHIBATA – Florian, Rotwood Harbinger – Battle Hardened: Tokyo",Battle Hardened: Tokyo,Classic Constructed,"Florian, Rotwood Harbinger",2nd,https://fabtcg.com/decklists/eitaro-shibata-florian-rotwood-harbinger-battle-hardened-tokyo/,battle hardened
Japan,18 May 2025,"Hiroki Goto – Fang, Dracai of Blades – Battle Hardened: Tokyo",Battle Hardened: Tokyo,Classic Constructed,"Fang, Dracai of Blades",3rd,https://fabtcg.com/decklists/hiroki-goto-fang-dracai-of-blades-battle-hardened-tokyo/,battle hardened
Japan,18 May 2025,"yohei ohki – Kano, Dracai of Aether – Battle Hardened: Tokyo",Battle Hardened: Tokyo,Classic Constructed,"Kano, Dracai of Aether",3rd,https://fabtcg.com/decklists/yohei-ohki-kano-dracai-of-aether-battle-hardened-tokyo/,battle hardened
Japan,18 May 2025,"Michalis Michael – Kano, Dracai of Aether – Battle Hardened: Tokyo",Battle Hardened: Tokyo,Classic Constructed,"Kano, Dracai of Aether",5th,https://fabtcg.com/decklists/michalis-michael-kano-dracai-of-aether-battle-hardened-tokyo/,battle hardened
Japan,18 May 2025,"Yuki Matsumoto – Cindra, Dracai of Retribution – Battle Hardened: Tokyo",Battle Hardened: Tokyo,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/yuki-matsumoto-cindra-dracai-of-retribution-battle-hardened-tokyo-2/,battle hardened
Japan,18 May 2025,Tsuyoshi Kaji – Dash I/O – Battle Hardened: Tokyo,Battle Hardened: Tokyo,Classic Constructed,Dash I/O,5th,https://fabtcg.com/decklists/tsuyoshi-kaji-dash-io-battle-hardened-tokyo/,battle hardened
Hong Kong,18 May 2025,"Eugene C – Rhinar, Reckless Rampage – Battle Hardened: Tokyo",Battle Hardened: Tokyo,Classic Constructed,"Rhinar, Reckless Rampage",5th,https://fabtcg.com/decklists/eugene-c-rhinar-reckless-rampage-battle-hardened-tokyo/,battle hardened
Japan,18 May 2025,"Yuki Matsumoto – Cindra, Dracai of Retribution – Battle Hardened: Tokyo",Battle Hardened: Tokyo,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/yuki-matsumoto-cindra-dracai-of-retribution-battle-hardened-tokyo/,battle hardened
Canada,17 May 2025,"Raine Karan – Fang, Dracai of Blades – Pro Quest Singapore Hosted by MK Kards",Pro Quest: Singapore,Classic Constructed,"Fang, Dracai of Blades",1st,https://fabtcg.com/decklists/raine-karan-fang-dracai-of-blades-pro-quest-singapore-mk-kards/,pro quest
United States of America,17 May 2025,"Ryan Wallace – Cindra, Dracai of Retribution – Dragon’s Lair PRO-QUEST CC!!",Pro Quest: Singapore,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/ryan-wallace-cindra-dracai-of-retribution-pro-quest-singapore-dragons-lair/,pro quest
United States of America,10 May 2025,"Tanner Lee – Verdance, Thorn of the Rose – Cardhall ProQuest",Pro Quest: Singapore,Classic Constructed,"Verdance, Thorn of the Rose",1st,https://fabtcg.com/decklists/tanner-lee-verdance-thorn-of-the-rose-pro-quest-singapore-cardhall/,pro quest
New Zealand,10 May 2025,"Kieran Carnegie – Kano, Dracai of Aether – Cerberus Pro Quest Singapore Classic Constructed",Pro Quest: Singapore,Classic Constructed,"Kano, Dracai of Aether",1st,https://fabtcg.com/decklists/kieran-carnegie-kano-dracai-of-aether-pro-quest-singapore-cerberus-games/,pro quest
Norway,10 May 2025,"Christopher Reyes – Fang, Dracai of Blades – Midgardgames ProQuest",Pro Quest: Singapore,Classic Constructed,"Fang, Dracai of Blades",1st,https://fabtcg.com/decklists/christopher-reyes-fang-dracai-of-blades-pro-quest-singapore-midgard-games/,pro quest
United States of America,04 May 2025,Andrew Rothermel – Kassai of the Golden Sand – SAT 0900 Battle Hardened (CC) – SCG CON Minneapolis,Battle Hardened: Minneapolis,Classic Constructed,Kassai of the Golden Sand,1st,https://fabtcg.com/decklists/andrew-rothermel-kassai-of-the-golden-sand-battle-hardened-minneapolis/,battle hardened
United States of America,04 May 2025,"Ben Stuttgen – Cindra, Dracai of Retribution – SAT 0900 Battle Hardened (CC) – SCG CON Minneapolis",Battle Hardened: Minneapolis,Classic Constructed,"Cindra, Dracai of Retribution",2nd,https://fabtcg.com/decklists/ben-stuttgen-cindra-dracai-of-retribution-battle-hardened-minneapolis/,battle hardened
United States of America,04 May 2025,"Andrew Henderson – Arakni, Marionette – SAT 0900 Battle Hardened (CC) – SCG CON Minneapolis",Battle Hardened: Minneapolis,Classic Constructed,"Arakni, Marionette",3rd,https://fabtcg.com/decklists/andrew-henderson-arakni-marionette-battle-hardened-minneapolis/,battle hardened
United States of America,04 May 2025,"David Bruner – Florian, Rotwood Harbinger – SAT 0900 Battle Hardened (CC) – SCG CON Minneapolis",Battle Hardened: Minneapolis,Classic Constructed,"Florian, Rotwood Harbinger",3rd,https://fabtcg.com/decklists/david-bruner-florian-rotwood-harbinger-battle-hardened-minneapolis/,battle hardened
United States of America,04 May 2025,"Logan King – Prism, Awakener of Sol – SAT 0900 Battle Hardened (CC) – SCG CON Minneapolis",Battle Hardened: Minneapolis,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/logan-king-prism-awakener-of-sol-battle-hardened-minneapolis/,battle hardened
United States of America,04 May 2025,"Tho Bui – Aurora, Shooting Star – SAT 0900 Battle Hardened (CC) – SCG CON Minneapolis",Battle Hardened: Minneapolis,Classic Constructed,"Aurora, Shooting Star",5th,https://fabtcg.com/decklists/tho-bui-aurora-shooting-star-battle-hardened-minneapolis/,battle hardened
United States of America,04 May 2025,"Alex Tyler – Fang, Dracai of Blades – SAT 0900 Battle Hardened (CC) – SCG CON Minneapolis",Battle Hardened: Minneapolis,Classic Constructed,"Fang, Dracai of Blades",5th,https://fabtcg.com/decklists/alex-tyler-fang-dracai-of-blades-battle-hardened-minneapolis/,battle hardened
United States of America,04 May 2025,"Arthur Reynolds – Florian, Rotwood Harbinger – SAT 0900 Battle Hardened (CC) – SCG CON Minneapolis",Battle Hardened: Minneapolis,Classic Constructed,"Florian, Rotwood Harbinger",5th,https://fabtcg.com/decklists/arthur-reynolds-florian-rotwood-harbinger-battle-hardened-minneapolis/,battle hardened
United States of America,03 May 2025,"Andrew Blackwell – Arakni, Marionette – The End Games ProQuest",Pro Quest: Singapore,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/andrew-blackwell-arakni-marionette-pro-quest-singapore-the-end-games/,pro quest
Canada,03 May 2025,"Mark Boothroyd – Cindra, Dracai of Retribution – May 04 – Flesh and Blood – Pro Quest Singapore – Classic Constructed",Pro Quest: Singapore,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/mark-boothroyd-cindra-dracai-of-retribution-pro-quest-singapore-wizards-tower/,pro quest
Germany,03 May 2025,"Viet Pham – Nuu, Alluring Desire – Pro Quest Singapore Kabooom",Pro Quest: Singapore,Classic Constructed,"Nuu, Alluring Desire",1st,https://fabtcg.com/decklists/viet-pham-nuu-alluring-desire-pro-quest-singapore-kabooom/,pro quest
South Korea,02 May 2025,Dumpster Dive – I Hate Reading,"Dumpster Dive #12: Speeding, Reading, and Stampeding",Commoner,"Ira, Crimson Haze",nao informado,https://fabtcg.com/decklists/dumpster-dive-i-hate-reading/,dumpster dive
United States of America,02 May 2025,Dumpster Dive – Bad Ending Speedrun (Low %),"Dumpster Dive #12: Speeding, Reading, and Stampeding",Commoner,Prism,nao informado,https://fabtcg.com/decklists/dumpster-dive-bad-ending-speedrun-low/,dumpster dive
Germany,02 May 2025,Dumpster Dive – Paws Turbo,"Dumpster Dive #12: Speeding, Reading, and Stampeding",Commoner,Zen,nao informado,https://fabtcg.com/decklists/dumpster-dive-paws-turbo/,dumpster dive
New Zealand,26 Apr 2025,"Oliver Berry – Ira, Scarlet Revenger – Pro Quest @ Gateway Games",Pro Quest: Singapore,Classic Constructed,"Ira, Scarlet Revenger",1st,https://fabtcg.com/decklists/oliver-berry-ira-scarlet-revenger-pro-quest-singapore-gateway-games/,pro quest
Canada,26 Apr 2025,"Karl Shen – Dash, Inventor Extraordinaire – Pro Quest Singapore",Pro Quest: Singapore,Classic Constructed,"Dash, Inventor Extraordinaire",1st,https://fabtcg.com/decklists/karl-shen-dash-inventor-extraordinaire-pro-quest-singapore-ogres-den-gaming-club/,pro quest
United States of America,26 Apr 2025,Daniel Rutkowski – Jarl Vetreiði – Red Seal Gaming Presents Pro Quest Singapore: Classic Constructed,Pro Quest: Singapore,Classic Constructed,Jarl Vetreiði,nao informado,https://fabtcg.com/decklists/daniel-rutkowski-jarl-vetreidi-pro-quest-singapore-red-seal-gaming/,pro quest
Canada,24 Apr 2025,"Elly Bird – Arakni, 5L!p3d 7hRu 7h3 cR4X – Primed to Fight",Primed to Fight,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",nao informado,https://fabtcg.com/decklists/elly-bird-arakni-5lp3d-7hru-7h3-cr4x-primed-to-fight/,primed to fight
Canada,24 Apr 2025,"Elly Bird – Aurora, Shooting Star – Primed to Fight",Primed to Fight,Classic Constructed,"Aurora, Shooting Star",nao informado,https://fabtcg.com/decklists/elly-bird-aurora-shooting-star-primed-to-fight/,primed to fight
Japan,20 Apr 2025,"shoma yamamura – Florian, Rotwood Harbinger – プロクエスト：シンガポール / Pro Quest : Singapore – Classic Constructed",Pro Quest: Singapore,Classic Constructed,"Florian, Rotwood Harbinger",1st,https://fabtcg.com/decklists/shoma-yamamura-florian-rotwood-harbinger-pro-quest-singapore/,pro quest
United States of America,19 Apr 2025,"Taotao Chu – Arakni, Marionette – 2025 LDXP Santa Clara Battle Hardened – Classic Constructed",Battle Hardened: Santa Clara,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/taotao-chu-arakni-marionette-battle-hardened-santa-clara/,battle hardened
United States of America,19 Apr 2025,"Daniel Brouillet – Enigma, Ledger of Ancestry – 2025 LDXP Santa Clara Battle Hardened – Classic Constructed",Battle Hardened: Santa Clara,Classic Constructed,"Enigma, Ledger of Ancestry",2nd,https://fabtcg.com/decklists/daniel-brouillet-enigma-ledger-of-ancestry-battle-hardened-santa-clara/,battle hardened
United States of America,19 Apr 2025,"Brodie Spurlock – Enigma, Ledger of Ancestry – 2025 LDXP Santa Clara Battle Hardened – Classic Constructed",Battle Hardened: Santa Clara,Classic Constructed,"Enigma, Ledger of Ancestry",3rd,https://fabtcg.com/decklists/brodie-spurlock-enigma-ledger-of-ancestry-battle-hardened-santa-clara/,battle hardened
United States of America,19 Apr 2025,"John Cooper – Aurora, Shooting Star – 2025 LDXP Santa Clara Battle Hardened – Classic Constructed",Battle Hardened: Santa Clara,Classic Constructed,"Aurora, Shooting Star",3rd,https://fabtcg.com/decklists/john-cooper-aurora-shooting-star-battle-hardened-santa-clara/,battle hardened
United States of America,19 Apr 2025,"Anthony Pham – Aurora, Shooting Star – 2025 LDXP Santa Clara Battle Hardened – Classic Constructed",Battle Hardened: Santa Clara,Classic Constructed,"Aurora, Shooting Star",5th,https://fabtcg.com/decklists/anthony-pham-aurora-shooting-star-battle-hardened-santa-clara/,battle hardened
United States of America,19 Apr 2025,"Majin Bae – Oscilio, Constella Intelligence – 2025 LDXP Santa Clara Battle Hardened – Classic Constructed",Battle Hardened: Santa Clara,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/majin-bae-oscilio-constella-intelligence-battle-hardened-santa-clara/,battle hardened
United States of America,19 Apr 2025,"Franche Tan – Arakni, Marionette – 2025 LDXP Santa Clara Battle Hardened – Classic Constructed",Battle Hardened: Santa Clara,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/franche-tan-arakni-marionette-battle-hardened-santa-clara/,battle hardened
United States of America,19 Apr 2025,Patrick Rubalcava – Dash I/O – 2025 LDXP Santa Clara Battle Hardened – Classic Constructed,Battle Hardened: Santa Clara,Classic Constructed,Dash I/O,5th,https://fabtcg.com/decklists/patrick-rubalcava-dash-io-battle-hardened-santa-clara/,battle hardened
Canada,19 Apr 2025,"cedrik pinault – Riptide, Lurker of the Deep – Pro Quest – Classic Constructed",Pro Quest: Singapore,Classic Constructed,"Riptide, Lurker of the Deep",1st,https://fabtcg.com/decklists/cedrik-pinault-riptide-lurker-of-the-deep-la-grotte-dasam-pro-quest-singapore/,pro quest
Philippines,19 Apr 2025,"Carlo Ople – Victor Goldmane, High and Mighty – Unbox Pro Quest – Classic Constructed",Pro Quest: Singapore,Classic Constructed,"Victor Goldmane, High and Mighty",1st,https://fabtcg.com/decklists/carlo-ople-victor-goldmane-high-and-mighty-pro-quest-singapore-unbox/,pro quest
Hong Kong,14 Apr 2025,"Nova Chan – Chane, Bound by Shadow – Battle Hardened: London 2025 – Living Legend",Battle Hardened: London,Living Legend,"Chane, Bound by Shadow",1st,https://fabtcg.com/decklists/nova-chan-chane-bound-by-shadow-battle-hardened-london/,battle hardened
United Kingdom,14 Apr 2025,"Jacob Clements – Bravo, Star of the Show – Battle Hardened: London 2025 – Living Legend",Battle Hardened: London,Living Legend,"Bravo, Star of the Show",2nd,https://fabtcg.com/decklists/jacob-clements-bravo-star-of-the-show-battle-hardened-london/,battle hardened
United Kingdom,14 Apr 2025,"George Rodger – Bravo, Star of the Show – Battle Hardened: London 2025 – Living Legend",Battle Hardened: London,Living Legend,"Bravo, Star of the Show",3rd,https://fabtcg.com/decklists/george-rodger-bravo-star-of-the-show-battle-hardened-london/,battle hardened
United Kingdom,14 Apr 2025,"Hamish Chisholm Brown – Chane, Bound by Shadow – Battle Hardened: London 2025 – Living Legend",Battle Hardened: London,Living Legend,"Chane, Bound by Shadow",3rd,https://fabtcg.com/decklists/hamish-chisholm-brown-chane-bound-by-shadow-battle-hardened-london/,battle hardened
Netherlands,14 Apr 2025,"Rob van der Burgh – Prism, Sculptor of Arc Light – Battle Hardened: London 2025 – Living Legend",Battle Hardened: London,Living Legend,"Prism, Sculptor of Arc Light",5th,https://fabtcg.com/decklists/rob-van-der-burgh-prism-sculptor-of-arc-light-battle-hardened-london/,battle hardened
United Kingdom,14 Apr 2025,"Jack Bradbury – Bravo, Star of the Show – Battle Hardened: London 2025 – Living Legend",Battle Hardened: London,Living Legend,"Bravo, Star of the Show",5th,https://fabtcg.com/decklists/jack-bradbury-bravo-star-of-the-show-battle-hardened-london/,battle hardened
United Kingdom,14 Apr 2025,"Rob Catton – Chane, Bound by Shadow – Battle Hardened: London 2025 – Living Legend",Battle Hardened: London,Living Legend,"Chane, Bound by Shadow",5th,https://fabtcg.com/decklists/rob-catton-chane-bound-by-shadow-battle-hardened-london/,battle hardened
Spain,14 Apr 2025,"Juan Chacon – Bravo, Star of the Show – Battle Hardened: London 2025 – Living Legend",Battle Hardened: London,Living Legend,"Bravo, Star of the Show",5th,https://fabtcg.com/decklists/juan-chacon-bravo-star-of-the-show-battle-hardened-london/,battle hardened
Canada,13 Apr 2025,"Emily Froese – Enigma, Ledger of Ancestry – Calling: London 2025 – Classic Constructed",Calling: London,Classic Constructed,"Enigma, Ledger of Ancestry",1st,https://fabtcg.com/decklists/emily-froese-enigma-ledger-of-ancestry-calling-london/,calling
Italy,13 Apr 2025,"Andrea Mengucci – Aurora, Shooting Star – Calling: London 2025 – Classic Constructed",Calling: London,Classic Constructed,"Aurora, Shooting Star",2nd,https://fabtcg.com/decklists/andrea-mengucci-aurora-shooting-star-calling-london/,calling
Canada,13 Apr 2025,"Jimmy Niro Demers – Enigma, Ledger of Ancestry – Calling: London 2025 – Classic Constructed",Calling: London,Classic Constructed,"Enigma, Ledger of Ancestry",3rd,https://fabtcg.com/decklists/jimmy-niro-demers-enigma-ledger-of-ancestry-calling-london/,calling
Brazil,13 Apr 2025,"Alexandre Castanheira – Enigma, Ledger of Ancestry – Calling: London 2025 – Classic Constructed",Calling: London,Classic Constructed,"Enigma, Ledger of Ancestry",3rd,https://fabtcg.com/decklists/alexandre-castanheira-enigma-ledger-of-ancestry-calling-london/,calling
Canada,13 Apr 2025,"Daniel Dreisziger – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: London 2025 – Classic Constructed",Calling: London,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",5th,https://fabtcg.com/decklists/daniel-dreisziger-arakni-5lp3d-7hru-7h3-cr4x-calling-london/,calling
United States of America,13 Apr 2025,"Brian Lorenz – Aurora, Shooting Star – Calling: London 2025 – Classic Constructed",Calling: London,Classic Constructed,"Aurora, Shooting Star",5th,https://fabtcg.com/decklists/brian-lorenz-aurora-shooting-star-calling-london/,calling
Belgium,13 Apr 2025,"Jorgen Fleussu – Enigma, Ledger of Ancestry – Calling: London 2025 – Classic Constructed",Calling: London,Classic Constructed,"Enigma, Ledger of Ancestry",5th,https://fabtcg.com/decklists/jorgen-fleussu-enigma-ledger-of-ancestry-calling-london/,calling
Brazil,13 Apr 2025,"Diorge Brognara – Aurora, Shooting Star – Calling: London 2025 – Classic Constructed",Calling: London,Classic Constructed,"Aurora, Shooting Star",5th,https://fabtcg.com/decklists/diorge-brognara-aurora-shooting-star-calling-london/,calling
United Kingdom,13 Apr 2025,Jack Raven – Enigma – SUN | Commoner Gold Cold Foil TOP Deck submission – Commoner,Commoner Gold Foil,Commoner,Enigma,1st,https://fabtcg.com/decklists/jack-raven-enigma-commoner-gold-foil/,commoner
Spain,12 Apr 2025,"Pablo Pintor – Enigma, Ledger of Ancestry – Pro Tour: London 2025 – Classic Constructed",Pro Tour: London,Classic Constructed,"Enigma, Ledger of Ancestry",1st,https://fabtcg.com/decklists/pablo-pintor-enigma-ledger-of-ancestry-pro-tour-london/,pro tour
Spain,12 Apr 2025,"Max Dieckmann – Enigma, Ledger of Ancestry – Pro Tour: London 2025 – Classic Constructed",Pro Tour: London,Classic Constructed,"Enigma, Ledger of Ancestry",2nd,https://fabtcg.com/decklists/max-dieckmann-enigma-ledger-of-ancestry-pro-tour-london/,pro tour
Canada,12 Apr 2025,"Shawn Dhaliwal – Aurora, Shooting Star – Pro Tour: London 2025 – Classic Constructed",Pro Tour: London,Classic Constructed,"Aurora, Shooting Star",3rd,https://fabtcg.com/decklists/shawn-dhaliwal-aurora-shooting-star-pro-tour-london/,pro tour
Netherlands,12 Apr 2025,"Paul van Gijssel – Aurora, Shooting Star – Pro Tour: London 2025 – Classic Constructed",Pro Tour: London,Classic Constructed,"Aurora, Shooting Star",3rd,https://fabtcg.com/decklists/paul-van-gijssel-aurora-shooting-star-pro-tour-london/,pro tour
Canada,12 Apr 2025,"Léo Vézinet – Prism, Awakener of Sol – Pro Tour: London 2025 – Classic Constructed",Pro Tour: London,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/leo-vezinet-prism-awakener-of-sol-pro-tour-london/,pro tour
Canada,12 Apr 2025,"Michael Jaszczur – Aurora, Shooting Star – Pro Tour: London 2025 – Classic Constructed",Pro Tour: London,Classic Constructed,"Aurora, Shooting Star",5th,https://fabtcg.com/decklists/michael-jaszczur-aurora-shooting-star-pro-tour-london/,pro tour
United States of America,12 Apr 2025,"Andrew Cook – Prism, Awakener of Sol – Pro Tour: London 2025 – Classic Constructed",Pro Tour: London,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/andrew-cook-prism-awakener-of-sol-pro-tour-london/,pro tour
United States of America,12 Apr 2025,"Kevin Murphy – Prism, Awakener of Sol – Pro Tour: London 2025 – Classic Constructed",Pro Tour: London,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/kevin-murphy-prism-awakener-of-sol-pro-tour-london/,pro tour
Czechia,06 Apr 2025,"Martin Holík – Enigma, Ledger of Ancestry – Battle Hardened Dublin 2025 – Classic Constructed",Battle Hardened: Dublin,Classic Constructed,"Enigma, Ledger of Ancestry",1st,https://fabtcg.com/decklists/martin-holik-enigma-ledger-of-ancestry-battle-hardened-dublin-2025-classic-constructed/,battle hardened
United Kingdom,06 Apr 2025,"Shahmir Samee – Aurora, Shooting Star – Battle Hardened Dublin 2025 – Classic Constructed",Battle Hardened: Dublin,Classic Constructed,"Aurora, Shooting Star",2nd,https://fabtcg.com/decklists/shahmir-samee-aurora-shooting-star-battle-hardened-dublin-2025-classic-constructed/,battle hardened
United Kingdom,06 Apr 2025,"Alex Chițu – Aurora, Shooting Star – Battle Hardened Dublin 2025 – Classic Constructed",Battle Hardened: Dublin,Classic Constructed,"Aurora, Shooting Star",3rd,https://fabtcg.com/decklists/alex-chitu-aurora-shooting-star-battle-hardened-dublin-2025-classic-constructed/,battle hardened
United States of America,06 Apr 2025,"Matthew Tickal – Dash, Inventor Extraordinaire – Battle Hardened Dublin 2025 – Classic Constructed",Battle Hardened: Dublin,Classic Constructed,"Dash, Inventor Extraordinaire",3rd,https://fabtcg.com/decklists/matthew-tickal-dash-inventor-extraordinaire-battle-hardened-dublin-2025-classic-constructed/,battle hardened
Ireland,06 Apr 2025,"Indigo Bosworth – Nuu, Alluring Desire – Battle Hardened Dublin 2025 – Classic Constructed",Battle Hardened: Dublin,Classic Constructed,"Nuu, Alluring Desire",5th,https://fabtcg.com/decklists/indigo-bosworth-nuu-alluring-desire-battle-hardened-dublin-2025-classic-constructed/,battle hardened
